Participant,Sex,Hand_force,ID,Artifact_ID,Plan,Profile,Width_mm,Length_mm,Edge_length_mm,Length_group,Plan_profile,Session,Time_s,Time_minute
1,M,42.66,1,56,1.003448,0,37.2,35.4,35.797,3-4 cm,low/low,First,188,3.8
2,F,22.66,2,52,1.015685,0.038384,34.73,48.95,45.198,4-5 cm,low/low,First,657,10.97
3,M,32.66,3,41,1.020513,0.023721,38.31,48.13,46.666,4-5 cm,low/low,First,122,2.02
4,M,28.66,4,161,1.029461,0.040488,27.3,44.58,39.102,4-5 cm,low/low,First,310,4.38
5,F,19.66,5,161,1.053796,0.018761,32.43,48.28,29.853,4-5 cm,low/low,First,380,6.6
6,M,36,6,57,1.064432,0.023755,46.14,33.58,31.785,3-4 cm,low/low,First,208,3.62
7,F,17,7,77,1.035916,0.036972,47.87,42.12,33.083,4-5 cm,low/low,First,294,4.94
8,M,41.33,8,198,1.057989,0.02045,27.7,40.27,35.066,4-5 cm,low/low,First,239,3.99
9,F,22.66,9,172,1.03138,0.026754,35.24,46.8,35.333,4-5 cm,low/low,First,413,6.93
10,F,16,10,201,1.008942,0.030695,35.95,39.87,28.545,3-4 cm,low/low,First,271,4.31
11,M,36.33,11,200,1.058445,0.043882,39.53,37.34,45.185,3-4 cm,low/low,First,289,4.89
12,M,22.33,12,25,1.048433,0.043564,27.94,36.13,37.558,3-4 cm,low/low,First,186,3.06
13,F,17,13,115,1.021813,0.031525,35.84,49.22,41.411,4-5 cm,low/low,First,283,4.83
14,F,19.66,14,74,1.02409,0.029673,35.98,49.51,45.486,4-5 cm,low/low,First,335,5.35
15,M,31.33,15,55,1.04472,0.03931,41.18,53.43,47.096,5-6 cm,low/low,First,173,2.93
16,M,36.66,16,3,1.05349,0.006801,46.09,41.2,35.786,4-5 cm,low/low,First,154,2.34
17,F,7,17,134,1.049383,0.017392,45.07,42.54,48.79,4-5 cm,low/low,First,528,8.48
18,F,29,18,120,1.045324,0.010647,28.4,39.7,39.9,3-4 cm,low/low,First,337,5.37
19,M,27,19,207,1.061815,0.037764,42.21,48.03,50.295,4-5 cm,low/low,First,132,1.77
20,M,21.33,20,108,1.066179,0.019467,34.43,45.7,46.205,4-5 cm,low/low,First,283,4.83
21,M,27.33,21,116,1.016912,0.020289,44.59,47.35,31.869,4-5 cm,low/low,First,93,1.73
1,M,42.66,22,94,1.065995,0.03565,33.33,61.94,62.398,6-7 cm,low/low,First,124,2.04
2,F,22.66,23,81,1.070629,0.017981,45.29,51.69,44.202,5-6 cm,low/low,First,328,4.88
3,M,32.66,24,81,1.076061,0.043415,60.43,67.67,52.543,6-7 cm,low/low,First,94,1.74
4,M,28.66,25,207,1.062078,0.037068,55.51,64.76,53.756,6-7 cm,low/low,First,98,1.38
5,F,19.66,26,209,1.076627,0.031919,27.45,63.11,63.802,6-7 cm,low/low,First,345,5.85
6,M,36,27,148,1.040015,0.021777,33.45,58.2,49.278,5-6 cm,low/low,First,204,3.24
7,F,17,28,90,1.041412,0.041562,35.27,62.96,51.552,6-7 cm,low/low,First,417,6.57
8,M,41.33,29,47,1.027291,0.034297,28.5,58.53,50.441,5-6 cm,low/low,First,129,1.69
9,F,22.66,30,101,1.01146,0.012628,28.57,54.91,42.276,5-6 cm,low/low,First,396,6.72
10,F,16,31,127,1.037744,0,28.92,54.46,53.916,5-6 cm,low/low,First,187,2.67
11,M,36.33,32,45,1.031739,0.034119,44.27,50.72,50.418,5-6 cm,low/low,First,345,5.45
12,M,22.33,33,164,1.016952,0.007143,29.43,55.75,51.65,5-6 cm,low/low,First,69,1.09
13,F,17,34,160,1.057535,0.034277,39.44,70.2,67.145,>70,low/low,First,113,1.53
14,F,19.66,35,199,1.035077,0.040425,60.61,78.81,68.313,>70,low/low,First,120,2
15,M,31.33,36,161,1.040948,0.009812,43.16,50.93,48.377,5-6 cm,low/low,First,179,2.59
16,M,36.66,37,106,1.058263,0.04412,27.5,59.89,57.524,5-6 cm,low/low,First,292,4.12
17,F,7,38,89,1.050707,0.034747,43.56,61.73,50.477,6-7 cm,low/low,First,223,3.81
18,F,29,39,103,1.056409,0.03833,39.47,53.23,47.381,5-6 cm,low/low,First,155,2.75
19,M,27,40,100,1.067673,0.017981,52.23,57.1,54.541,5-6 cm,low/low,First,370,5.7
20,M,21.33,41,208,1.034164,0.009744,48.3,79.82,57.029,>70,low/low,First,131,1.71
21,M,27.33,42,197,1.057385,0.036517,47.66,87.59,85.055,>70,low/low,First,97,1.37
1,M,42.66,43,132,1.092413,0.013233,44.08,49.73,50.44,4-5 cm,med/low,First,146,2.66
2,F,22.66,44,75,1.135631,0.020407,33.12,41.24,44.77,4-5 cm,med/low,First,267,4.27
3,M,32.66,45,166,1.114753,0.035695,35.53,38.1,41.558,3-4 cm,med/low,First,158,2.38
4,M,28.66,46,169,1.205309,0.076175,37.28,36.46,51.128,3-4 cm,med/low,First,413,6.53
5,F,19.66,47,147,1.147494,0.034901,41.27,49.97,48.648,4-5 cm,med/low,First,304,5.04
6,M,36,48,137,1.154536,0.012121,29.77,38.64,42.465,3-4 cm,med/low,First,142,2.62
7,F,17,49,226,1.144301,0.033681,31.72,48.19,50.593,4-5 cm,med/low,First,428,7.44
8,M,41.33,50,234,1.154999,0.040489,52.57,45.81,37.914,4-5 cm,med/low,First,148,2.28
9,F,22.66,51,68,1.082748,0,31.51,32.96,29.886,3-4 cm,med/low,First,318,4.56
10,F,16,52,218,1.090799,0.044905,39.01,49.12,56.042,4-5 cm,med/low,First,298,4.18
11,M,36.33,53,143,1.092246,0.026251,49.11,38.03,36.386,3-4 cm,med/low,First,294,4.94
12,M,22.33,54,86,1.114879,0.040378,28.61,36.84,35.044,3-4 cm,med/low,First,190,3.1
13,F,17,55,198,1.150575,0.024203,56.8,49.88,58.524,4-5 cm,med/low,First,161,2.41
14,F,19.66,56,155,1.155714,0.010453,41.87,36.4,47.746,3-4 cm,med/low,First,350,5.09
15,M,31.33,57,212,1.154054,0.029892,34.11,45.96,41.771,4-5 cm,med/low,First,126,2.06
16,M,36.66,58,194,1.110152,0.026886,56.14,37.45,33.944,3-4 cm,med/low,First,260,3.8
17,F,7,59,63,1.119585,0.01697,31.31,35.2,41.016,3-4 cm,med/low,First,336,5.77
18,F,29,60,10,1.13588,0.025186,27.4,34.57,39.791,3-4 cm,med/low,First,490,7.7
19,M,27,61,197,1.153242,0.020234,45.36,43.97,40.217,4-5 cm,med/low,First,166,2.46
20,M,21.33,62,35,1.087619,0.043772,49.71,34.3,32.758,3-4 cm,med/low,First,132,2.12
21,M,27.33,63,163,1.093853,0.032048,42.26,34.36,34.079,3-4 cm,med/low,First,173,2.93
1,M,42.66,64,207,1.139967,0.022906,37.43,50.07,47.947,5-6 cm,med/low,First,408,6.88
2,F,22.66,65,131,1.100799,0.029018,53.11,77.38,50.454,>70,med/low,First,233,3.93
3,M,32.66,66,135,1.113316,0.021945,29.12,72.34,81.674,>70,med/low,First,105,1.85
4,M,28.66,67,75,1.152054,0.022686,65.95,88.02,77.592,>70,med/low,First,119,1.99
5,F,19.66,68,83,1.108663,0.016319,35.3,61.82,58.278,6-7 cm,med/low,First,128,2.08
6,M,36,69,18,1.151808,0.024069,35.03,54.57,65.152,5-6 cm,med/low,First,81,1.21
7,F,17,70,194,1.096139,0.026952,36.46,52.67,55.64,5-6 cm,med/low,First,272,4.32
8,M,41.33,71,59,1.15128,0.029312,36.53,53.75,61.78,5-6 cm,med/low,First,115,1.95
9,F,22.66,72,113,1.091166,0.043197,36.94,57.5,42.011,5-6 cm,med/low,First,171,2.91
10,F,16,73,201,1.097901,0.022942,42.62,83.59,76.325,>70,med/low,First,216,2.96
11,M,36.33,74,147,1.130952,0.024158,68.02,86.3,80.232,>70,med/low,First,175,2.55
12,M,22.33,75,78,1.152109,0.040474,58.75,60.61,62.086,6-7 cm,med/low,First,63,1.03
13,F,17,76,187,1.133849,0.024932,42.87,59.08,62.034,5-6 cm,med/low,First,156,2.76
14,F,19.66,77,147,1.125792,0.036086,33.06,51.63,49.939,5-6 cm,med/low,First,477,7.25
15,M,31.33,78,215,1.158726,0.035511,39.09,52.82,56.693,5-6 cm,med/low,First,120,2
16,M,36.66,79,82,1.145951,0.017522,42.65,84.61,91.762,>70,med/low,First,179,2.99
17,F,7,80,128,1.156688,0.035156,44.69,52.44,52.627,5-6 cm,med/low,First,228,3.85
18,F,29,81,17,1.10781,0.019803,45.92,60.44,63.205,6-7 cm,med/low,First,237,3.97
19,M,27,82,6,1.098127,0.024454,40.18,72.16,71.163,>70,med/low,First,199,3.19
20,M,21.33,83,68,1.11841,0.04405,30.18,63.81,61.602,6-7 cm,med/low,First,100,1.4
21,M,27.33,84,82,1.135608,0.04549,52.7,50.32,51.426,5-6 cm,med/low,First,158,2.78
1,M,42.66,85,16,1.194709,0.011709,33.44,40.63,55.542,4-5 cm,high/low,First,537,8.57
2,F,22.66,86,24,1.188671,0.033006,45.5,33.51,50.068,3-4 cm,high/low,First,346,5.06
3,M,32.66,87,150,1.310893,0.009896,38.22,48.98,68.114,4-5 cm,high/low,First,171,2.51
4,M,28.66,88,60,1.274913,0.007897,32.34,37.32,45.763,3-4 cm,high/low,First,244,3.64
5,F,19.66,89,244,1.218232,0.029155,57.45,47.65,52.546,4-5 cm,high/low,First,123,2.03
6,M,36,90,122,1.250065,0.027927,33.99,42.33,48.3,4-5 cm,high/low,First,202,3.22
7,F,17,91,16,1.194709,0.011709,28.35,33.23,55.542,4-5 cm,high/low,First,908,15.08
8,M,41.33,92,196,1.463005,0.011397,31.68,45.6,70.808,4-5 cm,high/low,First,244,4.04
9,F,22.66,93,69,1.222044,0.045097,36.91,32.18,37.232,3-4 cm,high/low,First,156,2.36
10,F,16,94,180,1.222551,0.031528,26.66,41.41,55.34,4-5 cm,high/low,First,801,12.81
11,M,36.33,95,190,1.181313,0.043607,29.1,38.1,35.906,3-4 cm,high/low,First,401,6.41
12,M,22.33,96,153,1.576852,0.042237,63.17,37.76,60.559,3-4 cm,high/low,First,60,1
13,F,17,97,45,1.540996,0.031915,34.02,36.53,38.179,3-4 cm,high/low,First,259,4.19
14,F,19.66,98,79,1.348298,0.015648,38.31,38.5,52.438,3-4 cm,high/low,First,431,6.71
15,M,31.33,99,66,1.601132,0.013341,37.2,47.33,75.535,4-5 cm,high/low,First,168,2.88
16,M,36.66,100,27,1.163952,0.040203,30.51,49.85,52.301,4-5 cm,high/low,First,375,5.75
17,F,7,101,103,1.522412,0.021597,41.16,35.89,47.143,3-4 cm,high/low,First,197,3.17
18,F,29,102,178,1.220431,0.03822,26.8,45.29,59.817,4-5 cm,high/low,First,443,7.23
19,M,27,103,231,1.163429,0.02836,46.71,46.11,48.216,4-5 cm,high/low,First,447,7.76
20,M,21.33,104,98_67,1.291466,0.020573,52.69,32.3,71.358,3-4 cm,high/low,First,100,1.8
21,M,27.33,105,109,1.415854,0.037901,43.93,38.3,45.616,3-4 cm,high/low,First,145,2.25
1,M,42.66,106,69,1.219936,0.038596,40.87,55.04,67.044,5-6 cm,high/low,First,236,3.56
2,F,22.66,107,164,1.166677,0.035222,38.77,76.99,92.955,>70,high/low,First,179,2.59
3,M,32.66,108,219,1.255638,0.022084,27.26,67.21,85.848,6-7 cm,high/low,First,155,2.35
